Date, Imported, Local
2020-01-23, 2, 0
2020-01-24, 1, 0
2020-01-25, 0, 0
2020-01-26, 1, 0
2020-01-27, 1, 0
2020-01-28, 2, 0
2020-01-29, 3, 0
2020-01-30, 3, 0
2020-01-31, 3, 0
2020-02-01, 2, 0
2020-02-02, 0, 0
2020-02-03, 0, 0
2020-02-04, 2, 4
2020-02-05, 1, 3
2020-02-06, 0, 2
2020-02-07, 0, 3
2020-02-08, 0, 7
2020-02-09, 0, 3
2020-02-10, 1, 1
2020-02-11, 0, 2
2020-02-12, 0, 3
2020-02-13, 0, 8
2020-02-14, 0, 9
2020-02-15, 0, 5
2020-02-16, 0, 3
2020-02-17, 1, 1
2020-02-18, 0, 4
2020-02-19, 0, 3
2020-02-20, 0, 1
2020-02-21, 0, 1
2020-02-22, 1, 2
2020-02-23, 0, 0
2020-02-24, 0, 1
2020-02-25, 0, 1
2020-02-26, 0, 2
2020-02-27, 0, 3
2020-02-28, 0, 2
2020-02-29, 0, 4
2020-03-01, 0, 4
2020-03-02, 0, 2
2020-03-03, 0, 2
2020-03-04, 1, 1
2020-03-05, 1, 4
2020-03-06, 2, 11
2020-03-07, 2, 6
2020-03-08, 1, 11
2020-03-09, 3, 7
2020-03-10, 1, 5
2020-03-11, 9, 3
2020-03-12, 5, 4
2020-03-13, 9, 4
2020-03-14, 9, 3
2020-03-15, 9, 5
2020-03-16, 11, 6
2020-03-17, 17, 6
2020-03-18, 35, 12
2020-03-19, 25, 7
2020-03-20, 28, 12
2020-03-21, 39, 8
2020-03-22, 18, 5
2020-03-23, 48, 6
2020-03-24, 32, 17
2020-03-25, 38, 35
2020-03-26, 28, 24
2020-03-27, 22, 27
2020-03-28, 41, 29
2020-03-29, 24, 18
2020-03-30, 9, 26
2020-03-31, 16, 31
2020-04-01, 20, 54
2020-04-02, 8, 41
2020-04-03, 9, 56
2020-04-04, 7, 68
2020-04-05, 4, 116
2020-04-06, 1, 65
2020-04-07, 3, 103
2020-04-08, 2, 140
2020-04-09, 3, 284
2020-04-10, 0, 198
2020-04-11, 0, 191
2020-04-12, 0, 233
2020-04-13, 0, 386
2020-04-14, 0, 334
2020-04-15, 0, 447
2020-04-16, 0, 728
2020-04-17, 1, 622
2020-04-18, 0, 942
2020-04-19, 0, 596
2020-04-20, 0, 1426
2020-04-21, 0, 1111
2020-04-22, 0, 1016
2020-04-23, 0, 1037
2020-04-24, 0, 897
2020-04-25, 0, 618
2020-04-26, 2, 929
2020-04-27, 0, 799
2020-04-28, 0, 528
2020-04-29, 0, 690
2020-04-30, 0, 528
2020-05-01, 0, 932
2020-05-02, 0, 447
2020-05-03, 0, 657
2020-05-04, 0, 572
2020-05-05, 0, 631
2020-05-06, 0, 788
2020-05-07, 0, 734
2020-05-08, 0, 742
2020-05-09, 0, 753
2020-05-10, 0, 875
2020-05-11, 0, 486
2020-05-12, 0, 884
2020-05-13, 0, 675
2020-05-14, 0, 752
2020-05-15, 0, 793
2020-05-16, 0, 465
2020-05-17, 0, 682
2020-05-18, 0, 305
2020-05-19, 0, 451
2020-05-20, 0, 570
2020-05-21, 0, 448
2020-05-22, 0, 614
2020-05-23, 0, 642
2020-05-24, 0, 548
2020-05-25, 0, 344
2020-05-26, 0, 383
2020-05-27, 0, 533
2020-05-28, 0, 373
2020-05-29, 0, 611
2020-05-30, 0, 506
2020-05-31, 0, 518
2020-06-01, 0, 408
2020-06-02, 0, 544
2020-06-03, 0, 569
2020-06-04, 0, 517
2020-06-05, 0, 261
2020-06-06, 0, 344
2020-06-07, 0, 383
2020-06-08, 0, 386
2020-06-09, 0, 218
2020-06-10, 0, 451
2020-06-11, 0, 422
2020-06-12, 0, 463
2020-06-13, 0, 347
2020-06-14, 1, 406
2020-06-15, 0, 214
2020-06-16, 0, 151
2020-06-17, 0, 247
2020-06-18, 0, 257
2020-06-19, 0, 142
2020-06-20, 0, 218
2020-06-21, 0, 262
2020-06-22, 0, 218
2020-06-23, 0, 119
2020-06-24, 0, 191
2020-06-25, 0, 113
2020-06-26, 0, 219
2020-06-27, 0, 291
2020-06-28, 0, 213
2020-06-29, 0, 202
2020-06-30, 1, 245
2020-07-01, 4, 211
2020-07-02, 1, 187
2020-07-03, 3, 166
2020-07-04, 1, 184
2020-07-05, 7, 129
2020-07-06, 3, 180
2020-07-07, 3, 153
2020-07-08, 3, 155
2020-07-09, 1, 124
2020-07-10, 1, 189
2020-07-11, 1, 169
2020-07-12, 1, 177
2020-07-13, 5, 317
2020-07-14, 2, 345
2020-07-15, 5, 244
2020-07-16, 4, 244
2020-07-17, 3, 324
2020-07-18, 8, 194
2020-07-19, 5, 252
2020-07-20, 2, 121
2020-07-21, 3, 396
2020-07-22, 6, 304
2020-07-23, 5, 349
2020-07-24, 2, 275
2020-07-25, 6, 507
2020-07-26, 4, 477
2020-07-27, 15, 454
2020-07-28, 2, 357
2020-07-29, 4, 330
2020-07-30, 4, 274
2020-07-31, 3, 393
2020-08-01, 5, 302
2020-08-02, 5, 308
2020-08-03, 9, 217
2020-08-04, 7, 288
2020-08-05, 4, 904
2020-08-06, 4, 297
2020-08-07, 6, 236
2020-08-08, 6, 126
2020-08-09, 3, 172
2020-08-10, 12, 176
2020-08-11, 3, 58
2020-08-12, 11, 31
2020-08-13, 6, 96
2020-08-14, 4, 79
2020-08-15, 16, 65
2020-08-16, 6, 80
2020-08-17, 6, 85
2020-08-18, 2, 98
